name,time,price,system,height,area,area_floor_total,area_floor_drawings,num_of_floors,change,num_sections,num_special,block_plan,n_drawings
18-005_Hýskov,1 days 10:06:08.000000000,30000,1,5.8,1308.81,2946.98,2946.98,4,0,93,12,1,4
18-078_RD Řicany,0 days 04:29:44.000000000,3500,1,3.22,260,430.2,89.5,2,0,3,3,1,1
19-001_Garáž Spořice,0 days 02:59:40.000000000,2500,2,0,62,44.99,44.99,1,0,2,3,1,1
19-002_Garáž Chrlice,0 days 05:31:13.000000000,2500,1,0,69.25,54.89,54.89,1,0,2,4,1,1
19-004_RD Tater,0 days 04:03:18.000000000,2500,3,3.29,70.95,105.39,105.39,3,2,1,2,1,0
19-005_Byt Sartoriova,0 days 01:47:12.000000000,1500,1,16.8,124.65,124.65,124.65,7,1,0,2,1,0
19-006_Včelník,0 days 05:59:37.000000000,4200,1,2.87,60.39,317.44,317.44,2,0,4,7,1,2
19-008_RD Senomaty,0 days 04:34:33.000000000,3000,2,0,263,252.75,252.75,2,0,2,4,1,0
19-009_Tiskárna Jabkenice,0 days 08:21:03.000000000,6000,1,0,594,455.89,455.89,1,0,2,8,1,1
19-010_RD Údlice,0 days 02:06:39.000000000,2500,2,0,144.96,107.82,107.82,1,0,1,3,1,0
19-013_RD Dýšina,0 days 04:12:12.000000000,3000,3,0,241.5,237.9,237.9,1,0,1,5,1,0
19-014_Salón Most,0 days 04:15:13.000000000,3000,1,15.5,50.33,50.33,50.33,7,2,2,6,0,1
19-015_RD Blatnice,0 days 03:26:05.000000000,3000,1,3.17,257.7,300.94,300.94,2,0,1,3,1,0
19-016_Úvaly přístavba k RD,0 days 06:04:36.000000000,3000,1,2.91,209,209.8,209.8,2,0,2,8,1,2
19-017_BD Most,0 days 07:00:25.000000000,7500,1,6,410,154.1,154.1,3,2,3,11,0,1
19-020_RD Sofrančuk,0 days 01:22:41.000000000,2500,2,0,120,97.73,97.73,1,0,1,3,1,0
19-021_RD Tuchlovice,0 days 02:55:03.000000000,3000,2,3.13,154,220,220,2,2,1,3,1,0
19-022_RD Velké Zboží,0 days 03:02:14.000000000,3000,1,4.25,220.76,271.42,271.42,2,0,1,3,1,0
19-023_Úpravy Revoluční,0 days 08:44:13.000000000,6000,2,9.6,350.04,350.04,350.04,5,2,2,11,1,1
19-024_RD Káraný,0 days 04:51:20.000000000,3500,3,3.03,169.68,292.11,292.11,2,0,1,4,1,0
19-025_Čakovice Polyfunkční dům,0 days 15:53:15.000000000,10450,3,9.25,988.36,679.92,679.92,3,0,2,11,1,1
19-028_RD Podolanka,0 days 02:43:44.000000000,3000,2,0,204.7,185.56,185.56,1,0,1,3,1,0
19-029_RD Vikýře,0 days 02:33:39.000000000,3000,2,8.5,150,550,550,4,1,0,1,1,0
19-030_RD Zlatá,0 days 02:11:36.000000000,2200,2,3,130,130,130,2,1,0,2,1,0
19-031_RD Kopecký,0 days 02:28:00.000000000,2500,3,0,188,136.13,136.13,1,0,2,2,1,0
19-032_Zateplení Tobrucká,0 days 02:00:10.000000000,3500,1,17.1,1860,1800,1800,7,1,0,0,0,0
19-033_Změna ZŠ Hřebeč,0 days 01:22:37.000000000,3000,2,7.6,990,990,990,3,1,2,1,0,0
19-034_RD Střelice,0 days 05:03:45.000000000,3500,2,3,222.58,236.83,236.83,3,3,2,7,1,0
19-035_RD Ratměřice,0 days 02:46:54.000000000,3000,1,3,123,200.27,200.27,2,0,1,3,1,0
19-036_Joga Chodov,0 days 07:29:37.000000000,7000,1,17,381.57,377.95,377.95,4,4,7,9,1,2
19-037_RD Žďár,0 days 05:13:25.000000000,3500,1,3.22,225,344.9,344.9,3,0,1,5,1,0
